Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,39500.000000,39600.000000,38720.000000,39160.000000,31320.029297,675554
2019-09-02,39260.000000,39700.000000,38520.000000,38600.000000,30872.144531,313411
2019-09-09,38680.000000,39880.000000,38100.000000,39720.000000,31767.912109,666662
2019-09-16,39900.000000,40000.000000,38940.000000,39980.000000,31975.857422,737383
2019-09-23,40120.000000,40480.000000,39220.000000,40280.000000,32215.800781,955771
2019-09-30,39500.000000,40200.000000,39040.000000,40160.000000,32339.878906,1550665
2019-10-07,40360.000000,40400.000000,39500.000000,39500.000000,31808.400391,1400671
2019-10-14,39500.000000,40380.000000,39260.000000,40100.000000,32291.564453,815908
2019-10-21,42000.000000,42000.000000,39680.000000,40920.000000,32951.886719,1142206
2019-10-28,40620.000000,41500.000000,40420.000000,41100.000000,33096.843750,1629002
2019-11-04,41100.000000,44200.000000,41100.000000,42660.000000,34353.078125,796639
2019-11-11,42660.000000,42660.000000,41500.000000,41720.000000,33596.109375,563298
2019-11-18,42000.000000,42400.000000,41320.000000,42400.000000,34143.703125,384761
2019-11-25,41300.000000,42400.000000,39900.000000,41600.000000,33499.484375,1228823
2019-12-02,41600.000000,42540.000000,40940.000000,42000.000000,33821.597656,878953
2019-12-09,42000.000000,42960.000000,41300.000000,42500.000000,34224.230469,658274
2019-12-16,42960.000000,44500.000000,42140.000000,43720.000000,35206.667969,1240857
2019-12-23,44840.000000,45500.000000,43400.000000,43800.000000,35271.093750,204628
2019-12-30,44000.000000,44360.000000,43520.000000,44300.000000,36108.894531,248112
2020-01-06,44300.000000,44480.000000,42500.000000,42640.000000,34755.839844,392918
2020-01-13,42540.000000,44000.000000,42500.000000,43880.000000,35766.566406,494315
2020-01-20,44580.000000,44580.000000,43680.000000,43900.000000,35782.863281,231390
2020-01-27,42720.000000,43680.000000,42400.000000,42440.000000,34592.824219,1047809
2020-02-03,42380.000000,44500.000000,42000.000000,44280.000000,36092.597656,696423
2020-02-10,44480.000000,44840.000000,43700.000000,44700.000000,36434.945313,623454
2020-02-17,44460.000000,44700.000000,40320.000000,40520.000000,33027.828125,746628
2020-02-24,40080.000000,41640.000000,38700.000000,39000.000000,31788.880859,1077888
2020-03-02,38120.000000,40380.000000,36700.000000,36700.000000,29914.150391,1235411
2020-03-09,11620.000000,32900.000000,11600.000000,28600.000000,23311.843750,1006653
2020-03-16,23500.000000,27500.000000,18680.000000,18700.000000,15242.361328,1615555
2020-03-23,18700.000000,27000.000000,17700.000000,25700.000000,20948.056641,1539541
2020-03-30,25040.000000,26720.000000,23080.000000,23800.000000,19822.857422,1611775
2020-04-06,25400.000000,27020.000000,24020.000000,26100.000000,21738.505859,965759
2020-04-13,26960.000000,28680.000000,25500.000000,26500.000000,22071.666016,860806
2020-04-20,26200.000000,26800.000000,23040.000000,23040.000000,19189.853516,1249041
2020-04-27,24500.000000,26320.000000,23100.000000,25320.000000,21088.849609,1432324
2020-05-04,24140.000000,25300.000000,23000.000000,24000.000000,19989.429688,909519
2020-05-11,23600.000000,23860.000000,21000.000000,21520.000000,17923.855469,1560877
2020-05-18,22800.000000,22800.000000,21140.000000,21220.000000,17673.988281,1072306
2020-05-25,21220.000000,25000.000000,21220.000000,25000.000000,20822.324219,3258715
2020-06-01,25020.000000,28940.000000,24260.000000,28600.000000,23820.738281,1340428
2020-06-08,29600.000000,29600.000000,25000.000000,25700.000000,21405.349609,1525500
2020-06-15,25700.000000,27500.000000,24100.000000,27380.000000,22804.609375,1415798
2020-06-22,27380.000000,27380.000000,23820.000000,23820.000000,19839.507813,1087926
2020-06-29,23820.000000,24960.000000,23600.000000,24960.000000,21030.591797,488076
2020-07-06,24440.000000,25500.000000,24100.000000,24980.000000,21047.437500,720931
2020-07-13,24680.000000,25480.000000,23800.000000,24440.000000,20592.451172,856954
2020-07-20,24440.000000,25660.000000,23900.000000,25480.000000,21468.724609,1408882
2020-07-27,26700.000000,26800.000000,25500.000000,26800.000000,22580.917969,4349660
2020-08-03,25620.000000,26800.000000,24520.000000,25000.000000,21064.291016,1545661
2020-08-10,25400.000000,26060.000000,24500.000000,25140.000000,21182.248047,668885
2020-08-17,25140.000000,25800.000000,24780.000000,25620.000000,21586.681641,717155
2020-08-24,25620.000000,27340.000000,25620.000000,26700.000000,22496.658203,621085
2020-08-31,26000.000000,28000.000000,26000.000000,27260.000000,22968.503906,1701961
2020-09-07,27460.000000,27460.000000,25900.000000,26160.000000,22041.671875,588491
2020-09-14,25600.000000,26580.000000,25000.000000,26200.000000,22075.376953,1209907
2020-09-21,25340.000000,25500.000000,24700.000000,25200.000000,21232.804688,672906
2020-09-28,24900.000000,25200.000000,23960.000000,24500.000000,20887.160156,1008130
2020-10-05,24170.000000,25980.000000,24130.000000,25980.000000,22148.917969,796105
2020-10-12,25980.000000,25980.000000,24050.000000,24330.000000,20742.228516,1169694
2020-10-19,25170.000000,25800.000000,24320.000000,24990.000000,21304.908203,772961
2020-10-26,25900.000000,25900.000000,23320.000000,24500.000000,20887.160156,1500431
2020-11-02,24500.000000,25300.000000,24500.000000,25180.000000,21466.888672,294533
2020-11-09,26780.000000,26780.000000,25570.000000,26330.000000,22447.306641,979724
2020-11-16,26330.000000,27680.000000,26330.000000,27680.000000,23598.234375,1421222
2020-11-23,28200.000000,28500.000000,27400.000000,27500.000000,23444.771484,1359266
2020-11-30,27680.000000,29400.000000,27410.000000,29400.000000,25064.595703,1801086
2020-12-07,30700.000000,33450.000000,30230.000000,32000.000000,27281.191406,1032474
2020-12-14,32700.000000,35800.000000,31750.000000,34900.000000,29753.548828,2113720
2020-12-21,33060.000000,34650.000000,32700.000000,34650.000000,29540.417969,646573
2020-12-28,34500.000000,35300.000000,34310.000000,34980.000000,29821.755859,164491
2021-01-04,33500.000000,35670.000000,33500.000000,35100.000000,30178.375000,841286
2021-01-11,35100.000000,35100.000000,33100.000000,33100.000000,28458.806641,1052323
2021-01-18,33450.000000,33670.000000,31110.000000,31160.000000,26790.832031,1122937
2021-01-25,30480.000000,31460.000000,29900.000000,30600.000000,26309.351563,2983466
2021-02-01,30600.000000,31810.000000,30600.000000,31500.000000,27083.158203,1329183
2021-02-08,31650.000000,32000.000000,30700.000000,30850.000000,26524.298828,1376802
2021-02-15,30900.000000,31740.000000,30640.000000,31100.000000,26739.244141,551550
2021-02-22,31000.000000,31800.000000,29490.000000,31400.000000,26997.179688,1753659
2021-03-01,30710.000000,31300.000000,30000.000000,30000.000000,25793.482422,611091
2021-03-08,29750.000000,30520.000000,29490.000000,30520.000000,26240.568359,486851
2021-03-15,30400.000000,30810.000000,29200.000000,29200.000000,25105.656250,1829117
2021-03-22,29200.000000,30400.000000,29200.000000,29500.000000,25363.589844,1293047
2021-03-29,29200.000000,29500.000000,28500.000000,28750.000000,24771.892578,881148
2021-04-05,29360.000000,30700.000000,28920.000000,30700.000000,26452.076172,1451930
2021-04-12,29930.000000,30850.000000,29200.000000,30340.000000,26141.890625,801935
2021-04-19,30060.000000,30330.000000,28700.000000,28800.000000,24814.980469,562486
2021-04-26,28990.000000,29950.000000,27920.000000,27920.000000,24056.740234,1051460
2021-05-03,27400.000000,28950.000000,26800.000000,28940.000000,24935.603516,1179063
2021-05-10,29520.000000,29610.000000,27910.000000,28960.000000,24952.835938,2703700
2021-05-17,28960.000000,28960.000000,27390.000000,27710.000000,23875.796875,803310
2021-05-24,27400.000000,27900.000000,27000.000000,27300.000000,23522.531250,4480469
2021-05-31,27000.000000,28340.000000,27000.000000,27800.000000,23953.343750,751366
2021-06-07,27800.000000,28520.000000,27220.000000,28320.000000,24401.392578,1058878
2021-06-14,28320.000000,28530.000000,27300.000000,27800.000000,23953.343750,749868
2021-06-21,27490.000000,27740.000000,26890.000000,27680.000000,23849.951172,484592
2021-06-28,27050.000000,27560.000000,25700.000000,27500.000000,23751.199219,830075
2021-07-05,27500.000000,28280.000000,26760.000000,28100.000000,24269.410156,611237
2021-07-12,28180.000000,28450.000000,27650.000000,27990.000000,24174.404297,635041
2021-07-19,27200.000000,28270.000000,27200.000000,28270.000000,24416.234375,2307963
2021-07-26,28300.000000,28480.000000,27100.000000,27100.000000,23405.726563,1346348
2021-08-02,27700.000000,28200.000000,27000.000000,27250.000000,23535.281250,462267
